GL Depth,MS,Mean,GS Age (ka),,,Depth1 (cm),Age (ka),Asian dustREE (%)
10.24,33.8 ,28.703,34.90 ,,,,,
10.26,35.5 ,29.949,34.95 ,,,,,
10.28,34.5 ,29.691,35.01 ,,,,,
10.3,34.5 ,27.196,35.06 ,,,,,
10.32,35.0 ,26.754,35.12 ,,,,,
10.34,36.0 ,27.236,35.17 ,,,,,
10.36,37.3 ,27.206,35.23 ,,,,,
10.38,37.1 ,27.434,35.28 ,,,,,
10.4,35.6 ,27.159,35.34 ,,,,,
10.42,35.4 ,25.9,35.39 ,,,,,
10.44,36.9 ,26.722,35.45 ,,,,,
10.46,36.8 ,28.3,35.50 ,,,,,
10.48,36.3 ,28.212,35.56 ,,,,,
10.5,35.1 ,26.76,35.61 ,,,,,
10.52,34.6 ,25.62,35.67 ,,,,,
10.54,33.9 ,28.621,35.72 ,,,,,
10.56,33.7 ,29.748,35.77 ,,,,,
10.58,34.4 ,30.487,35.82 ,,,,,
10.6,34.6 ,29.459,35.87 ,,,,,
10.62,34.2 ,30.326,35.92 ,,,,,
10.64,35.0 ,30.556,35.97 ,,,,,
10.66,33.5 ,33.354,36.02 ,,,,,
10.68,34.6 ,32.302,36.06 ,,,,,
10.7,33.4 ,31.692,36.11 ,,,,,
10.72,33.1 ,30.882,36.16 ,,,,,
10.74,32.9 ,31.033,36.21 ,,,,,
10.76,33.2 ,28.126,36.26 ,,,,,
10.78,33.7 ,28.776,36.31 ,,,,,
10.8,32.9 ,29.536,36.37 ,,,,,
10.82,32.4 ,27.665,36.42 ,,,,,
10.84,32.7 ,26.688,36.47 ,,,,,
10.86,32.9 ,27.389,36.53 ,,,,,
10.88,33.2 ,26.894,36.58 ,,,,,
10.9,33.4 ,27.124,36.64 ,,,,,
10.92,33.3 ,30.028,36.69 ,,,,,
10.94,33.9 ,29.25,36.74 ,,,,,
10.96,34.3 ,26.896,36.80 ,,,,,
