Age 1,O181,,,Age2,O182
,,,6620.4,6.6204,-8.18
,,,6662.4,6.6624,-8.57
,,,6704.3,6.7043,-8.43
,,,6746.3,6.7463,-8.78
,,,6788.2,6.7882,-8.94
,,,6830.2,6.8302,-8.31
,,,6872.2,6.8722,-8.55
,,,6914.1,6.9141,-8.94
,,,6956.1,6.9561,-8.47
,,,6998,6.998,-8.72
,,,7031.5,7.0315,-8.83
,,,7064.9,7.0649,-8.57
,,,7094.9,7.0949,-8.96
,,,7128.4,7.1284,-9.31
,,,7161.8,7.1618,-8.78
,,,7195.2,7.1952,-9.08
,,,7228.6,7.2286,-8.92
,,,7262,7.262,-9.01
,,,7295.4,7.2954,-9.23
,,,7328.9,7.3289,-9.19
,,,7362.3,7.3623,-8.99
,,,7395.7,7.3957,-9.32
,,,7455.4,7.4554,-9.17
,,,7518,7.518,-9.2
,,,7580.6,7.5806,-8.92
,,,7643.2,7.6432,-9.13
,,,7694.2,7.6942,-9.15
,,,7718.1,7.7181,-9.2
,,,7742.1,7.7421,-8.68
,,,7766.1,7.7661,-9.06
,,,7790,7.79,-9.17
,,,7814,7.814,-9.28
,,,7837.9,7.8379,-9.2
,,,7861.9,7.8619,-9
,,,7885.9,7.8859,-8.95
,,,7974.5,7.9745,-9.07
,,,7986.5,7.9865,-8.8
,,,7998.5,7.9985,-9.08
,,,8010.5,8.0105,-8.56
,,,8015.3,8.0153,-8.96
,,,8017.7,8.0177,-9.2
,,,8020.1,8.0201,-8.91
,,,8022.4,8.0224,-8.84
,,,8027.2,8.0272,-8.91
,,,8029.6,8.0296,-9.26
,,,8032,8.032,-9.01
,,,8034.4,8.0344,-8.75
,,,8039.2,8.0392,-8.82
,,,8041.6,8.0416,-9.13
,,,8044,8.044,-8.7
,,,8046.4,8.0464,-8.59
,,,8048.8,8.0488,-8.95
,,,8051.2,8.0512,-8.14
,,,8053.6,8.0536,-8.63
,,,8056,8.056,-8.69
,,,8058,8.058,-8.8
,,,8061,8.061,-8.7
,,,8063,8.063,-8.61
,,,8064,8.064,-8.7
,,,8066.1,8.0661,-8.8
,,,8068.1,8.0681,-8.74
,,,8070.1,8.0701,-8.71
,,,8071.1,8.0711,-8.7
,,,8072.1,8.0721,-8.93
,,,8073.1,8.0731,-8.64
,,,8074.1,8.0741,-8.47
,,,8075.1,8.0751,-8.64
,,,8076.1,8.0761,-8.86
,,,8077.1,8.0771,-8.18
,,,8078.1,8.0781,-8.26
,,,8080.2,8.0802,-8.71
,,,8081.2,8.0812,-8.71
,,,8082.2,8.0822,-8.67
,,,8083.2,8.0832,-8.58
,,,8084.2,8.0842,-8.72
,,,8085.2,8.0852,-8.61
,,,8086.2,8.0862,-8.7
,,,8087.2,8.0872,-8.83
,,,8088.2,8.0882,-8.44
,,,8090.2,8.0902,-8.45
,,,8091.2,8.0912,-8.57
,,,8092.2,8.0922,-8.68
,,,8093.3,8.0933,-8.56
,,,8094.3,8.0943,-8.57
,,,8095.3,8.0953,-8.56
,,,8096.3,8.0963,-8.69
,,,8097.3,8.0973,-8.49
,,,8098.3,8.0983,-8.51
,,,8100.3,8.1003,-8.8
,,,8101.3,8.1013,-8.96
,,,8102.3,8.1023,-8.84
,,,8103.3,8.1033,-8.71
,,,8104.3,8.1043,-8.68
,,,8105.3,8.1053,-8.65
,,,8106.3,8.1063,-8.68
,,,8107.4,8.1074,-8.76
,,,8108.4,8.1084,-8.64
,,,8109.4,8.1094,-8.76
,,,8110.4,8.1104,-8.65
,,,8111.4,8.1114,-9.02
,,,8112.4,8.1124,-8.96
,,,8113.4,8.1134,-8.96
,,,8114.4,8.1144,-8.87
,,,8115.4,8.1154,-8.86
,,,8116.4,8.1164,-8.7
,,,8117.4,8.1174,-9.13
,,,8118.4,8.1184,-8.98
,,,8119.4,8.1194,-9.02
,,,8120.4,8.1204,-8.93
,,,8121.5,8.1215,-8.76
,,,8122.5,8.1225,-8.65
,,,8123.5,8.1235,-8.97
,,,8124.5,8.1245,-8.85
,,,8125.5,8.1255,-9.08
,,,8126.5,8.1265,-8.94
,,,8127.5,8.1275,-8.8
,,,8128.5,8.1285,-8.91
,,,8129.5,8.1295,-8.97
,,,8130.5,8.1305,-9.16
,,,8131.5,8.1315,-9.13
,,,8132.5,8.1325,-9.2
,,,8133.5,8.1335,-9.04
,,,8134.5,8.1345,-8.96
,,,8135.6,8.1356,-9.26
,,,8136.6,8.1366,-9.04
,,,8137.6,8.1376,-8.98
,,,8138.6,8.1386,-8.87
,,,8139.6,8.1396,-9.11
,,,8140.6,8.1406,-9.39
,,,8141.6,8.1416,-9.27
,,,8142.6,8.1426,-9.32
,,,8143.6,8.1436,-9.06
,,,8144.6,8.1446,-9.26
,,,8145.6,8.1456,-9.21
,,,8146.6,8.1466,-9.36
,,,8147.6,8.1476,-9.41
,,,8148.6,8.1486,-9.24
,,,8149.7,8.1497,-8.94
,,,8150.7,8.1507,-8.93
,,,8151.7,8.1517,-8.9
,,,8152.7,8.1527,-8.89
,,,8153.7,8.1537,-8.93
,,,8154.7,8.1547,-8.83
,,,8155.7,8.1557,-8.96
,,,8156.7,8.1567,-8.98
,,,8157.7,8.1577,-9.02
,,,8158.7,8.1587,-8.77
,,,8159.7,8.1597,-8.95
,,,8160.7,8.1607,-9.35
,,,8161.7,8.1617,-9.42
,,,8162.7,8.1627,-9.4
,,,8163.8,8.1638,-9.19
,,,8164.8,8.1648,-9.03
,,,8165.8,8.1658,-9.31
,,,8166.8,8.1668,-9.01
,,,8167.8,8.1678,-9.14
,,,8168.8,8.1688,-8.81
,,,8169.8,8.1698,-9.33
,,,8170.8,8.1708,-9.18
,,,8171.8,8.1718,-8.8
,,,8172.8,8.1728,-9.33
,,,8173.8,8.1738,-8.69
,,,8174.8,8.1748,-8.55
,,,8175.8,8.1758,-8.7
,,,8176.8,8.1768,-8.95
,,,8177.9,8.1779,-8.83
,,,8178.9,8.1789,-8.98
,,,8179.9,8.1799,-9.4
,,,8180.9,8.1809,-8.94
,,,8181.9,8.1819,-8.8
,,,8182.9,8.1829,-8.85
,,,8183.9,8.1839,-9.02
,,,8184.9,8.1849,-8.92
,,,8185.9,8.1859,-9.29
,,,8186.9,8.1869,-8.96
,,,8187.9,8.1879,-8.97
,,,8188.9,8.1889,-8.85
,,,8189.9,8.1899,-8.91
,,,8190.9,8.1909,-8.84
,,,8193,8.193,-9.13
,,,8194,8.194,-9.33
,,,8195,8.195,-9.39
,,,8196,8.196,-9.45
,,,8197,8.197,-9.14
,,,8199.1,8.1991,-9.02
,,,8201.2,8.2012,-9.15
,,,8203.3,8.2033,-8.87
,,,8205.4,8.2054,-8.76
,,,8207.5,8.2075,-8.88
,,,8209.5,8.2095,-8.73
,,,8211.6,8.2116,-8.974
,,,8213.7,8.2137,-8.876
,,,8215.8,8.2158,-8.636
,,,8217.9,8.2179,-8.908
,,,8220,8.22,-9.051
,,,8222,8.222,-8.841
,,,8224.1,8.2241,-9.071
,,,8226.2,8.2262,-9.196
,,,8228.3,8.2283,-9.048
,,,8230.4,8.2304,-8.873
,,,8232.5,8.2325,-8.804
,,,8234.5,8.2345,-8.634
,,,8236.6,8.2366,-8.801
,,,8238.7,8.2387,-8.836
,,,8240.8,8.2408,-8.726
,,,8242.9,8.2429,-8.951
,,,8245,8.245,-8.798
,,,8247,8.247,-9.034
,,,8249.1,8.2491,-8.851
,,,8251.2,8.2512,-8.908
,,,8253.3,8.2533,-8.904
,,,8255.4,8.2554,-8.823
,,,8257.5,8.2575,-8.303
,,,8259.5,8.2595,-8.309
,,,8261.6,8.2616,-8.988
,,,8263.7,8.2637,-8.907
,,,8265.8,8.2658,-8.738
,,,8267.9,8.2679,-8.711
,,,8270,8.27,-8.778
,,,8272.1,8.2721,-8.558
,,,8274.1,8.2741,-8.746
,,,8276.2,8.2762,-8.712
,,,8278.3,8.2783,-8.921
,,,8280.4,8.2804,-9.006
,,,8282.5,8.2825,-8.797
,,,8284.6,8.2846,-9.244
,,,8305.4,8.3054,-8.94
,,,8326.2,8.3262,-9.07
,,,8347.1,8.3471,-8.96
,,,8367.9,8.3679,-9.07
,,,8388.7,8.3887,-9.41
,,,8409.6,8.4096,-9.2
,,,8430.4,8.4304,-8.85
,,,8451.2,8.4512,-8.79
,,,8472,8.472,-8.84
,,,8498.8,8.4988,-9.06
,,,8525.6,8.5256,-8.77
,,,8552.4,8.5524,-9.39
,,,8579.2,8.5792,-8.99
,,,8606,8.606,-8.96
,,,8632.8,8.6328,-9.29
,,,8659.6,8.6596,-8.97
,,,8686.4,8.6864,-9.29
,,,8713.2,8.7132,-9.07
,,,8740,8.74,-9.03
,,,8766.8,8.7668,-9.34
,,,8793.6,8.7936,-9.43
,,,8820.4,8.8204,-9.14
,,,8847.2,8.8472,-9.16
,,,8874,8.874,-8.87
,,,8997.5,8.9975,-9.04
,,,9015.5,9.0155,-9.31
,,,9033.4,9.0334,-9.2
,,,9051.3,9.0513,-9.34
